"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"FF","2018-04-27","96.1","1.6404","6.7540","Blake Snell",605141,605483,"null","called_strike",,,,,"2","null","R","R","L","BOS","TB","S","null","null",1,0,2018,"0.2472","1.6083","-0.1137","3.5009","null","null","null",0,1,"Bot","null","null",,,467092,,"180427_232110","-5.2001","-139.7693","-6.6187","4.4534","33.2436","-9.9029","3.6155","1.4167","null","null","null","95.8010","2340","6.2710",529798,605483,467092,543543,621002,622110,588751,608701,605480,460576,"54.2294","null","null","null","null","null","null","null",6,"2","4-Seam Fastball",0,2,0,2,2,0,0,2,"Standard","Standard"
"FF","2018-04-27","96.5","1.7246","6.8361","Blake Snell",605141,605483,"null","ball",,,,,"12","null","R","R","L","BOS","TB","B","null","null",0,0,2018,"0.2993","1.7642","1.3911","5.0844","null","null","null",0,1,"Bot","null","null",,,467092,,"180427_232052","-1.5646","-140.5776","-3.0905","4.3060","32.3412","-8.4270","3.5293","1.6200","null","null","null","96.4410","2363","6.2290",529798,605483,467092,543543,621002,622110,588751,608701,605480,460576,"54.2717","null","null","null","null","null","null","null",6,"1","4-Seam Fastball",0,2,0,2,2,0,0,2,"Standard","Strategic"
"SL","2018-03-30","86.9","1.4675","6.6790","Blake Snell",605141,605483,"walk","ball",,,,,"13","Mookie Betts walks.  ","R","R","L","TB","BOS","B","null","null",3,1,2018,"-0.3011","0.3246","-1.2829","-0.3266","null","null","null",1,6,"Top","null","null",,,467092,,"180331_002904","-6.0068","-126.2067","-11.3517","-2.0966","24.7770","-26.5996","3.3864","1.4989","null","null","null","87.6530","2308","6.7890",529421,605483,467092,543543,621002,622110,588751,608701,595281,460576,"53.7090","null","null","0.70",1,0,0,"null",37,"5","Slider",0,0,0,0,0,0,0,0,"Standard","Standard"
"CH","2018-03-30","87.9","1.8629","6.4636","Blake Snell",605141,605483,"null","ball",,,,,"13","null","R","R","L","TB","BOS","B","null","null",2,1,2018,"1.1595","1.0707","-0.0481","0.3895","null","null","null",1,6,"Top","null","null",,,467092,,"180331_002843","-7.0928","-127.4934","-10.8293","14.2668","27.2937","-18.2893","3.3669","1.4891","null","null","null","88.0930","1810","6.6810",529421,605483,467092,543543,621002,622110,588751,608701,595281,460576,"53.8170","null","null","null","null","null","null","null",37,"4","Changeup",0,0,0,0,0,0,0,0,"Standard","Standard"
"FF","2018-03-30","94.9","1.6911","6.7139","Blake Snell",605141,605483,"null","ball",,,,,"9","null","R","R","L","TB","BOS","B","null","null",1,1,2018,"0.5338","1.7170","0.6964","1.4770","null","null","null",1,6,"Top","null","null",,,467092,,"180331_002823","-3.7640","-137.6621","-11.7480","7.5712","30.3304","-8.1243","3.4544","1.5961","null","null","null","94.3890","2353","6.1460",529421,605483,467092,543543,621002,622110,588751,608701,595281,460576,"54.3524","null","null","null","null","null","null","null",37,"3","4-Seam Fastball",0,0,0,0,0,0,0,0,"Standard","Standard"
"CU","2018-03-30","80.6","1.5295","6.7745","Blake Snell",605141,605483,"null","called_strike",,,,,"4","null","R","R","L","TB","BOS","S","null","null",1,0,2018,"-0.5198","-0.8050","-0.4227","2.6167","null","null","null",1,6,"Top","null","null",,,467092,,"180331_002808","-3.3221","-117.0536","-0.9845","-3.9001","24.5591","-39.3756","3.3475","1.5086","null","null","null","78.9050","2511","5.4660",529421,605483,467092,543543,621002,622110,588751,608701,595281,460576,"55.0322","null","null","null","null","null","null","null",37,"2","Curveball",0,0,0,0,0,0,0,0,"Standard","Standard"
"CU","2018-03-30","80.2","1.4483","6.8538","Blake Snell",605141,605483,"null","ball",,,,,"13","null","R","R","L","TB","BOS","B","null","null",0,0,2018,"-0.1835","-0.9046","-0.4624","0.2121","null","null","null",1,6,"Top","null","null",,,467092,,"180331_002748","-3.8564","-116.5957","-6.2108","-0.8814","23.1351","-39.3025","3.3475","1.5183","null","null","null","79.5250","2540","5.9960",529421,605483,467092,543543,621002,622110,588751,608701,595281,460576,"54.5020","null","null","null","null","null","null","null",37,"1","Curveball",0,0,0,0,0,0,0,0,"Standard","Standard"
"CH","2018-03-30","86.8","1.9652","6.5341","Blake Snell",605141,605483,"field_out","hit_into_play",,,,,"6","Mookie Betts flies out to left fielder Rob Refsnyder.  ","R","R","L","TB","BOS","X",7,"fly_ball",2,0,2018,"1.1725","1.0651","0.5374","2.0193","null","null","null",0,4,"Top","51.78","84.49",,,467092,,"180330_235029","-5.8976","-126.2100","-6.8556","13.9066","26.0880","-19.4292","3.2600","1.4114","320","89.1","37.1420","87.4050","1763","6.7480",529421,605483,467092,543543,621002,622110,588751,608701,595281,460576,"53.7504","0.027","0.056","0.00",1,0,0,3,20,"3","Changeup",0,0,0,0,0,0,0,0,"Standard","Standard"
"FF","2018-03-30","94.0","1.7855","6.7519","Blake Snell",605141,605483,"null","ball",,,,,"12","null","R","R","L","TB","BOS","B","null","null",1,0,2018,"0.6666","1.6032","1.3134","4.8889","null","null","null",0,4,"Top","null","null",,,467092,,"180330_235006","-2.7175","-136.8817","-2.6925","9.0127","30.4548","-11.5638","3.3475","1.4989","null","null","null","94.3480","2361","6.4700",529421,605483,467092,543543,621002,622110,588751,608701,595281,460576,"54.0278","null","null","null","null","null","null","null",20,"2","4-Seam Fastball",0,0,0,0,0,0,0,0,"Standard","Standard"
"CH","2018-03-30","86.6","1.9665","6.6058","Blake Snell",605141,605483,"null","ball",,,,,"14","null","R","R","L","TB","BOS","B","null","null",0,0,2018,"0.9726","1.2147","0.0654","0.7578","null","null","null",0,4,"Top","null","null",,,467092,,"180330_234948","-6.5708","-125.6392","-10.2349","11.7596","26.6043","-17.2650","3.3378","1.4989","null","null","null","86.7420","1786","6.6450",529421,605483,467092,543543,621002,622110,588751,608701,595281,460576,"53.8526","null","null","null","null","null","null","null",20,"1","Changeup",0,0,0,0,0,0,0,0,"Standard","Standard"
"CU","2018-03-30","81.8","1.6085","6.8549","Blake Snell",605141,605483,"other_out","blocked_ball",,,,,"13","Christian Vazquez out at 2nd, catcher Wilson Ramos to second baseman Daniel Robertson.  ","R","R","L","TB","BOS","B",2,"null",0,1,2018,"-0.3841","-0.6365","-2.0727","-1.1180","null","null","543877.00",2,3,"Top","null","null",,,467092,,"180330_234008","-7.5220","-118.5301","-9.9742","-1.8948","26.2671","-36.1216","3.3475","1.4989","null","null","null","80.8450","2527","6.2350",529421,605483,467092,543543,621002,622110,588751,608701,595281,460576,"54.2627","null","null","0.00",0,0,0,"null",16,"2","Curveball",0,0,0,0,0,0,0,0,"Standard","Standard"
"FF","2018-03-30","94.4","2.0027","6.6876","Blake Snell",605141,605483,"null","called_strike",,,,,"12","null","R","R","L","TB","BOS","S","null","null",0,0,2018,"0.4068","1.7883","0.9134","2.5979","null","null","543877.00",2,3,"Top","null","null",,,467092,,"180330_233939","-3.7571","-137.2224","-8.9723","5.9969","30.1661","-7.6757","3.3572","1.5086","null","null","null","94.7210","2364","6.5180",529421,605483,467092,543543,621002,622110,588751,608701,595281,460576,"53.9803","null","null","null","null","null","null","null",16,"1","4-Seam Fastball",0,0,0,0,0,0,0,0,"Standard","Standard"
"FF","2018-03-30","97.9","1.7356","6.6734","Blake Snell",605141,605483,"field_out","hit_into_play",,,,,"5","Mookie Betts pops out to first baseman Brad Miller.  ","R","R","L","TB","BOS","X",3,"popup",3,2,2018,"0.4682","1.6337","-0.1669","2.1510","null","null","null",0,1,"Top","137.57","145.68",,,467092,,"180330_231239","-6.2181","-142.0824","-10.4504","7.8157","33.6710","-7.7867","3.2600","1.4114","135","87.5","68.9810","97.7590","2477","6.4320",529421,605483,467092,543543,621002,622110,588751,608701,595281,460576,"54.0660","0.009","0.012","0.00",1,0,0,3,1,"6","4-Seam Fastball",0,0,0,0,0,0,0,0,"Standard","Standard"
"FF","2018-03-30","97.4","1.7393","6.6686","Blake Snell",605141,605483,"null","foul",,,,,"12","null","R","R","L","TB","BOS","S","null","null",3,1,2018,"0.7387","1.6012","0.9380","2.9303","null","null","null",0,1,"Top","null","null",,,467092,,"180330_231206","-3.9127","-141.7001","-8.3478","10.9987","31.3200","-8.5486","3.2600","1.4114","146","75.7","75.0279","98.4330","2355","6.8060",529421,605483,467092,543543,621002,622110,588751,608701,595281,460576,"53.6923","null","null","null","null","null","null","null",1,"5","4-Seam Fastball",0,0,0,0,0,0,0,0,"Standard","Standard"
"CH","2018-03-30","90.3","1.8569","6.6319","Blake Snell",605141,605483,"null","ball",,,,,"14","null","R","R","L","TB","BOS","B","null","null",2,1,2018,"1.1856","0.7417","0.0626","0.5363","null","null","null",0,1,"Top","null","null",,,467092,,"180330_231142","-7.0866","-131.0430","-10.8665","15.3857","27.9955","-21.3677","3.3475","1.5280","null","null","null","90.8930","1761","6.8220",529421,605483,467092,543543,621002,622110,588751,608701,595281,460576,"53.6761","null","null","null","null","null","null","null",1,"4","Changeup",0,0,0,0,0,0,0,0,"Standard","Standard"
"FF","2018-03-30","96.7","1.6129","6.7907","Blake Snell",605141,605483,"null","foul",,,,,"2","null","R","R","L","TB","BOS","S","null","null",2,0,2018,"0.3821","1.6973","0.1461","3.0350","null","null","null",0,1,"Top","null","null",,,467092,,"180330_231115","-4.8478","-140.6875","-8.4674","6.2785","32.6464","-7.5103","3.2600","1.4114","120","80.5","80.5138","97.5880","2341","6.8520",529421,605483,467092,543543,621002,622110,588751,608701,595281,460576,"53.6462","null","null","null","null","null","null","null",1,"3","4-Seam Fastball",0,0,0,0,0,0,0,0,"Standard","Standard"
"FF","2018-03-30","96.8","1.7474","6.7246","Blake Snell",605141,605483,"null","ball",,,,,"14","null","R","R","L","TB","BOS","B","null","null",1,0,2018,"0.7525","1.5109","1.4416","1.0576","null","null","null",0,1,"Top","null","null",,,467092,,"180330_231050","-2.5630","-140.4229","-13.0342","10.6251","34.0014","-9.1421","3.3587","1.5100","null","null","null","96.8640","2385","6.6520",529421,605483,467092,543543,621002,622110,588751,608701,595281,460576,"53.8458","null","null","null","null","null","null","null",1,"2","4-Seam Fastball",0,0,0,0,0,0,0,0,"Standard","Standard"
"FF","2018-03-30","97.3","1.7834","6.7603","Blake Snell",605141,605483,"null","ball",,,,,"13","null","R","R","L","TB","BOS","B","null","null",0,0,2018,"0.5408","1.4892","-0.0118","1.2341","null","null","null",0,1,"Top","null","null",,,467092,,"180330_231033","-6.0896","-141.0701","-12.7218","8.7309","34.0191","-9.3194","3.3490","1.5489","null","null","null","97.3480","2379","6.6530",529421,605483,467092,543543,621002,622110,588751,608701,595281,460576,"53.8454","null","null","null","null","null","null","null",1,"1","4-Seam Fastball",0,0,0,0,0,0,0,0,"Standard","Standard"
