"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score"
"SL","2018-05-14","79.3","3.4451","5.4632","Mookie Betts",605141,640455,"null","ball",,,,,"13","null","R","R","L","BOS","OAK","B","null","null",1,2,2018,"-0.3596","-0.1229","-0.8835","0.3340","null","null","null",2,3,"Bot","null","null",,,518960,,"180515_000234","-8.8218","-115.1754","-4.1749","-1.5353","22.0345","-32.6831","3.2970","1.5655","null","null","null","79.5360","1941","6.6260",530022,640455,518960,621566,476704,656305,543760,459964,641583,592192,"53.8740","null","null","null","null","null","null","null",22,"4","Slider",0,1,0,1,1,0,0,1
"FF","2018-05-14","92.2","3.5169","5.2640","Mookie Betts",605141,640455,"null","ball",,,,,"12","null","R","R","L","BOS","OAK","B","null","null",0,2,2018,"0.9653","0.5853","0.3705","3.7867","null","null","null",2,3,"Bot","null","null",,,518960,,"180515_000216","-10.1814","-133.9283","0.8178","13.9648","29.1888","-25.4283","3.2735","1.5184","null","null","null","92.6880","2005","6.6980",530022,640455,518960,621566,476704,656305,543760,459964,641583,592192,"53.8021","null","null","null","null","null","null","null",22,"3","4-Seam Fastball",0,1,0,1,1,0,0,1
"CH","2018-05-14","83.7","3.6258","5.4856","Mookie Betts",605141,640455,"null","foul",,,,,"6","null","R","R","L","BOS","OAK","S","null","null",0,1,2018,"0.6638","-0.1294","0.5330","2.1896","null","null","null",2,3,"Bot","null","null",,,518960,,"180515_000153","-8.4116","-121.7400","-1.0308","8.0105","19.7734","-33.4870","3.1090","1.2597","null","null","null","84.0820","1159","6.1840",530022,640455,518960,621566,476704,656305,543760,459964,641583,592192,"54.3169","null","null","null","null","null","null","null",22,"2","Changeup",0,1,0,1,1,0,0,1
"CH","2018-05-14","84.0","3.4460","5.6121","Mookie Betts",605141,640455,"null","foul",,,,,"8","null","R","R","L","BOS","OAK","S","null","null",0,0,2018,"0.9396","-0.0772","-0.1562","1.5567","null","null","null",2,3,"Bot","null","null",,,518960,,"180515_000128","-10.1557","-121.9400","-2.8498","11.2323","22.1398","-32.6319","3.1090","1.2597","null","null","null","83.9830","1396","6.2400",530022,640455,518960,621566,476704,656305,543760,459964,641583,592192,"54.2604","null","null","null","null","null","null","null",22,"1","Changeup",0,1,0,1,1,0,0,1
"CH","2018-05-14","84.4","3.4824","5.5832","Mookie Betts",605141,640455,"field_out","hit_into_play",,,,,"2","Mookie Betts grounds out, second baseman Jed Lowrie to first baseman Matt Olson.  ","R","R","L","BOS","OAK","X",4,"ground_ball",1,2,2018,"0.9892","-0.2476","0.2458","3.1327","null","null","null",0,1,"Bot","136.74","145.11",,,518960,,"180514_232330","-9.4574","-122.5501","1.1267","11.7043","22.2195","-35.0803","3.1090","1.2597","29","98.5","-4.2980","84.4310","1418","6.2450",530022,640455,518960,621566,476704,656305,543760,459964,641583,592192,"54.2556","0.375","0.320","0.00",1,0,0,2,4,"4","Changeup",0,0,0,0,0,0,0,0
"FF","2018-05-14","92.3","3.4180","5.3726","Mookie Betts",605141,640455,"null","ball",,,,,"11","null","R","R","L","BOS","OAK","B","null","null",0,2,2018,"1.1898","1.0066","-0.0090","3.7223","null","null","null",0,1,"Bot","null","null",,,518960,,"180514_232310","-11.4415","-134.1110","-0.5988","17.0228","28.3930","-19.8825","3.1795","1.4949","null","null","null","93.0940","2093","6.7950",530022,640455,518960,621566,476704,656305,543760,459964,641583,592192,"53.7053","null","null","null","null","null","null","null",4,"3","4-Seam Fastball",0,0,0,0,0,0,0,0
"FF","2018-05-14","91.9","3.4027","5.4341","Mookie Betts",605141,640455,"null","called_strike",,,,,"7","null","R","R","L","BOS","OAK","S","null","null",0,1,2018,"1.4303","0.8466","-0.7180","1.4333","null","null","null",0,1,"Bot","null","null",,,518960,,"180514_232253","-13.6129","-133.2007","-6.1446","20.0397","26.9605","-20.8866","3.2030","1.4949","null","null","null","92.3840","2151","6.6670",530022,640455,518960,621566,476704,656305,543760,459964,641583,592192,"53.8337","null","null","null","null","null","null","null",4,"2","4-Seam Fastball",0,0,0,0,0,0,0,0
"FF","2018-05-14","91.5","3.4942","5.4737","Mookie Betts",605141,640455,"null","called_strike",,,,,"6","null","R","R","L","BOS","OAK","S","null","null",0,0,2018,"1.4051","0.6285","0.4491","1.9938","null","null","null",0,1,"Bot","null","null",,,518960,,"180514_232237","-10.7691","-132.9537","-4.3023","19.0226","26.6722","-23.9590","3.1090","1.4243","null","null","null","92.0560","2155","6.5590",530022,640455,518960,621566,476704,656305,543760,459964,641583,592192,"53.9412","null","null","null","null","null","null","null",4,"1","4-Seam Fastball",0,0,0,0,0,0,0,0
"FS","2018-05-13","82.6","-1.2115","6.2218","Mookie Betts",605141,461325,"walk","ball",,,,,"12","Mookie Betts walks.  ","R","R","R","TOR","BOS","B","null","null",3,2,2018,"0.3290","0.7984","1.2014","3.6553","null","598265.00","null",2,9,"Top","null","null",,,431145,,"180513_204405","4.8043","-120.1281","-0.8240","2.1426","23.8435","-24.7583","3.2244","1.6021","null","null","null","81.4280","null","5.5820",530003,461325,431145,475253,500208,518626,620446,434158,607680,606192,"54.9181","null","null","0.70",1,0,0,"null",74,"6","Split Finger",3,5,5,3,5,3,5,3
"FF","2018-05-13","92.1","-1.3741","6.0461","Mookie Betts",605141,461325,"null","ball",,,,,"14","null","R","R","R","TOR","BOS","B","null","null",2,2,2018,"-0.6133","1.5594","1.0247","1.5035","null","598265.00","null",2,9,"Top","null","null",,,431145,,"180513_204333","7.3778","-133.5720","-8.9301","-8.9921","31.5530","-11.8773","3.2850","1.4870","null","null","null","91.2840","2351","6.2020",530003,461325,431145,475253,500208,518626,620446,434158,607680,606192,"54.2981","null","null","null","null","null","null","null",74,"5","4-Seam Fastball",3,5,5,3,5,3,5,3
